Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
292,Iman Shumpert,SG,25,CLE,54,5,24.4,2.1,5.6,0.8,2.7,1.3,2.9,0.7,0.9,0.6,3.2,3.8,1.7,1,0.4,1.1,2.2,5.8
293,Amar'e Stoudemire,C,33,MIA,52,36,14.7,2.4,4.3,0,0,2.4,4.3,1,1.3,1.3,3,4.3,0.5,0.3,0.8,0.9,1.8,5.8
294,Ty Lawson,PG,28,TOT,66,13,21.4,2.1,5.4,0.5,1.6,1.6,3.7,0.9,1.3,0.4,1.4,1.8,3.6,0.8,0.1,1.4,1.3,5.7
295,Jarell Martin,PF,21,MEM,27,0,14.1,2,4.3,0,0.1,2,4.2,1.7,2.3,1.4,1.7,3.2,0.6,0.3,0.3,0.7,2.1,5.7
296,Xavier Munford,SG,23,MEM,14,0,17.4,2.3,5.5,0.6,1.6,1.6,3.9,0.5,1,0.2,2,2.2,1.6,0.9,0.2,1.1,1.8,5.7
297,Greivis Vasquez,PG,29,MIL,23,0,20,2,6,0.8,3.2,1.2,2.8,1,1.1,0.2,1.8,2,4,0.4,0,1.7,1.8,5.7
298,Troy Daniels,SG,24,CHO,43,0,11.1,2.1,4.3,1.4,2.8,0.7,1.5,0.1,0.2,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6
299,Bryce Dejean-Jones,SG,23,NOP,14,11,19.9,2,4.9,0.9,2.3,1.1,2.6,0.8,1.5,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6
300,Jerian Grant,PG,23,NYK,76,6,16.6,2,5.1,0.3,1.3,1.7,3.8,1.3,1.6,0.3,1.6,1.9,2.3,0.7,0.1,1.1,1.3,5.6
301,Richaun Holmes,PF,22,PHI,51,1,13.8,2.2,4.4,0.2,0.9,2.1,3.5,1,1.5,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,5.6
302,Anthony Morrow,SG,30,OKC,68,6,13.6,2,4.9,1.2,3,0.8,1.9,0.4,0.6,0.1,0.8,0.9,0.4,0.3,0.1,0.3,0.9,5.6
303,Norman Powell,SG,22,TOR,49,24,14.8,2,4.7,0.7,1.8,1.2,2.9,0.9,1.1,0.3,1.9,2.3,1,0.6,0.2,0.7,1.2,5.6
304,Tiago Splitter,C,31,ATL,36,2,16.1,2.3,4.3,0,0.1,2.3,4.3,1.1,1.3,1.3,2.1,3.3,0.8,0.6,0.3,0.7,2,5.6
305,Cole Aldrich,C,27,LAC,60,5,13.3,2.2,3.8,0,0,2.2,3.8,1,1.4,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5
306,Bismack Biyombo,C,23,TOR,82,22,22,1.9,3.5,0,0,1.9,3.5,1.7,2.8,2.2,5.8,8,0.4,0.2,1.6,0.9,2.7,5.5
307,Richard Jefferson,SF,35,CLE,74,5,17.9,1.9,4.2,0.9,2.3,1,1.9,0.8,1.2,0.2,1.5,1.7,0.8,0.4,0.2,0.6,1.7,5.5
308,Boban Marjanovic,C,27,SAS,54,4,9.4,1.9,3.2,0,0,1.9,3.2,1.6,2.1,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1,5.5
309,Larry Nance Jr.,PF,23,LAL,63,22,20.1,2.5,4.8,0,0.2,2.5,4.6,0.5,0.7,1.6,3.3,5,0.7,0.9,0.4,0.7,2,5.5
310,Lavoy Allen,PF,26,IND,79,28,20.2,2.4,4.7,0,0,2.4,4.7,0.6,0.9,2.1,3.3,5.4,1,0.3,0.5,0.9,1.9,5.4
311,Andrew Bogut,C,31,GSW,70,66,20.7,2.5,4,0,0,2.5,4,0.3,0.7,1.7,5.3,7,2.3,0.5,1.6,1.2,3.2,5.4
