Rk,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
15,4,24.0,0.7098948514259712,72,33.1,7.7,15.1,M,4.0,H,11.1,4.1,4.6,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2
16,3,29.0,0.9160883767364192,77,37.0,6.6,15.6,M,7.1,H,8.5,5.2,6.4,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2
17,5,26.0,0.5037013261155231,67,36.9,7.0,15.4,L,3.1,H,12.4,5.9,7.1,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9
18,3,25.0,1.0810431969847776,81,35.6,7.0,16.4,M,6.0,H,10.4,4.6,5.4,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9
19,5,24.0,1.039804491922688,80,34.8,8.0,17.9,M,5.9,H,12.0,2.3,2.8,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,20.8
20,4,20.0,1.0810431969847776,81,35.1,7.3,16.0,L,2.3,H,13.6,5.3,7.0,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,20.7
21,0,27.0,0.7511335564880608,73,33.7,8.1,15.8,L,0.2,H,15.7,4.3,5.5,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9,20.6
22,3,26.0,-0.9808920561197029,31,34.2,7.2,15.9,L,4.2,H,11.7,4.5,5.5,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4
23,3,25.0,0.9160883767364192,77,36.2,7.4,17.5,L,4.3,H,13.3,3.5,4.5,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9
24,4,25.0,1.039804491922688,80,36.2,6.5,15.0,M,5.1,H,9.9,4.9,6.0,0.8,4.2,5.0,3.7,1.2,0.3,2.5,2.3,19.7
25,3,23.0,-0.0736405447537314,53,31.5,7.4,16.6,L,4.9,H,11.6,3.2,3.6,0.8,2.1,3.0,4.7,1.1,0.3,2.3,2.0,19.6
26,5,24.0,-0.11487924981582101,50,36.0,7.1,17.2,M,6.8,H,10.5,3.0,3.5,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6
27,4,27.0,-0.0736405447537314,53,34.7,5.4,13.2,L,4.5,H,8.7,7.1,8.2,1.0,4.3,5.3,2.5,0.8,0.4,1.5,1.6,19.5
28,3,30.0,0.7923722615501504,74,32.7,7.0,15.1,L,4.4,H,10.6,4.0,4.4,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5
29,1,31.0,-0.0736405447537314,53,33.5,6.8,14.5,L,4.2,H,10.3,4.0,5.1,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1
30,5,34.0,0.7923722615501504,73,30.5,7.3,16.0,L,0.6,H,15.4,4.4,5.5,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0
31,3,25.0,0.9985657868605985,79,30.7,6.8,15.7,L,4.2,H,11.5,3.7,4.3,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8
32,1,37.0,0.83361096661224,75,31.5,6.6,14.8,L,4.6,H,10.3,3.3,3.7,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,18.3
33,0,20.0,1.1222819020468673,82,32.0,7.6,14.1,L,1.1,H,13.0,2.7,3.4,2.8,7.7,10.5,2.0,0.7,1.7,2.2,3.0,18.3
34,5,24.0,0.9985657868605985,79,36.1,6.4,14.5,M,4.6,H,9.9,3.5,3.9,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.2
35,0,25.0,0.4212239159913439,60,31.3,8.2,16.1,L,0.1,H,16.0,1.7,2.3,2.7,6.2,8.9,2.8,0.8,1.1,1.9,2.7,18.2
36,1,30.0,0.7923722615501504,74,30.6,7.2,14.1,L,0.2,H,13.9,3.5,4.1,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0
37,4,37.0,0.4624626210534335,66,28.2,6.0,16.9,M,7.1,H,9.8,3.5,4.3,0.6,3.1,3.7,2.8,0.9,0.2,2.0,1.7,17.6
38,0,20.0,-0.0736405447537314,48,30.0,7.5,14.7,L,0.1,H,14.6,2.5,3.7,2.3,4.7,7.0,1.2,0.4,1.2,2.3,2.6,17.5
39,5,22.0,0.008836865370447816,35,31.1,6.5,14.5,M,4.9,H,9.6,2.5,3.2,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4
40,4,29.0,0.627417441301792,70,34.0,6.7,14.4,L,3.1,H,11.3,2.8,3.6,1.5,5.0,6.5,1.7,1.4,0.7,2.0,2.6,17.2
41,1,30.0,1.0810431969847776,81,32.7,6.2,13.2,L,2.9,H,10.3,3.8,5.0,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1
42,1,27.0,0.4624626210534335,7,30.4,6.0,14.1,M,5.4,H,8.7,3.0,3.5,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0
43,3,21.0,1.039804491922688,79,35.3,6.4,12.7,L,1.4,H,11.3,3.7,5.1,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9
44,3,25.0,0.4212239159913439,23,28.2,6.3,14.4,L,4.0,H,10.4,2.8,3.3,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3,16.8
45,0,31.0,-0.11487924981582101,52,34.4,6.3,13.6,L,0.1,H,13.5,3.9,4.7,1.1,5.8,7.0,3.8,1.0,1.3,2.3,2.7,16.6
46,0,35.0,0.7098948514259712,72,31.8,6.5,13.8,L,1.0,H,12.9,3.2,4.0,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5
47,1,24.0,0.2975078008050751,59,32.0,6.7,13.1,L,0.1,H,13.0,2.9,4.1,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4
48,3,27.0,0.4624626210534335,66,31.8,6.8,15.9,L,2.3,H,13.6,2.2,2.7,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,16.4
